state,country
Lisbon,PRT
Arkansas,USA
NA,GBR
NA,JPN
NA,JPN
Maharashtra,IND
Wyoming,USA
NA,GBR
Santa Fe Province,ARG
NA,NPL
Hubei,CHN
England,GBR
New York,USA
NA,AUS
Potosí,BOL
West Kordofan State,SDN
British Columbia,CAN
Gauteng,ZAF
