state,country
Pahang,MYS
Kentucky,USA
Aquitaine-Limousin-Poitou-Charentes,FRA
England,GBR
Texas,USA
Minas Gerais,BRA
Oklahoma,USA
Assam,IND
Manitoba,CAN
Texas,USA
West Virginia,USA
Florida,USA
Texas,USA
Nevada,USA
NA,CAN
Alsace-Champagne-Ardenne-Lorraine,FRA
Maryland,USA
Maryland,USA
Maryland,USA
