topic0,topic1,topic2,topic3,topic4
uwelltech,smokeshop,vape,86,congratulations
vapetime,hollywood,disposable,whatsapp,thank
uwell,smoke,nicotine,vapeshop,winners
vapefam,smokeproducts,warning,vapelife,please
vapedaily,losangeles,yrs,vapenation,much
caliburna,high,sales,vape,great
vapelove,angeles,contain,vapecommunity,us
caliburn,dispensary,old,vapeon,send
caliburna3,texas,products,poland,love
caliburnak3,customers,21,hogwarts,gave
