,state
Texas,24
Maryland,23
New York,18
Minnesota,15
Florida,11
California,10
North Dakota,9
Missouri,9
South Carolina,9
Hawaii,7
Massachusetts,7
Indiana,6
Illinois,6
Tennessee,6
Alabama,5
Oregon,4
Virginia,4
New Jersey,4
Ohio,4
Michigan,4
Oklahoma,4
Connecticut,3
Georgia,3
Kentucky,3
South Dakota,3
Kansas,3
Washington,3
New Hampshire,2
Arizona,2
Louisiana,2
Nevada,2
Colorado,2
Pennsylvania,2
Alaska,1
Wisconsin,1
Arkansas,1
Delaware,1
West Virginia,1
Idaho,1
Iowa,1
