topic0,topic1,topic2,topic3,topic4
vape,vaper,vaper,vapers,vapers
vapefam,vapers,rt,smokers,rt
vapelife,quiero,fumar,adult,vapes
vapecommunity,si,fumando,smoking,im
vaping,ser,cigarro,nicotine,bathroom
vapedaily,rt,vapers,million,thanks
disposable,ms,fuman,use,issue
vapenation,compro,si,rt,vape
vapelove,vida,uso,teen,kids
vapers,va,da,tobacco,awareness
