state,country
Arkansas,USA
NA,JPN
NA,JPN
Maharashtra,IND
Maryland,USA
Maryland,USA
Maryland,USA
New York,USA
Gauteng,ZAF
Falcón,VEN
Chihuahua,MEX
Hubei,CHN
Potosí,BOL
NA,AUS
NA,NPL
