topic0,topic1,topic2,topic3,topic4,topic5
vape,vaper,vapers,vaper,vapers,nicotine
vapefam,vapers,nicotine,fumar,bathroom,vape
vapelife,quiero,adult,fumando,voices,yrs
vapecommunity,compro,smokers,vapers,theres,sales
vapedaily,vida,smoking,fuman,caliburn,products
vaping,ms,million,cigarro,youre,contain
vapelove,like,use,tabaco,match,warning
uwell,parecen,tobacco,clase,sick,old
vapenation,xd,teen,fumado,seize,21
vapetime,peor,quit,jvenes,scientists,disposable
