topic0,topic1,topic2,topic3,topic4
vapeadores,nicotina,vapear,tabaco,cigarros
salud,tabaco,dejar,dejar,colombia
vapeo,fumar,vapeo,vapeadores,mexicanos
uso,cigarrillos,ahora,vapeo,vapeadores
plstico,vapeo,clase,gobierno,mercado
riesgo,vapeadores,solo,fumar,uso
jvenes,ms,diciendo,prohibicin,negro
cientficos,vapear,segui,vapear,salud
especialmente,lleva,profesor,aumentar,hoy
constituyen,menos,historias,impuestos,absurda
