state,country
Maryland,USA
Maryland,USA
Maryland,USA
Maryland,USA
New York,USA
Nevada,USA
Florida,USA
Texas,USA
Georgia,USA
California,USA
NA,ARE
NA,ARE
Ash Shāriqah,ARE
Gauteng,ZAF
