topic0,topic1,topic2,topic3
tabaco,vapear,vapeadores,vapeadores
fumar,vapeo,salud,colombia
rt,rt,rt,cigarros
vapear,si,riesgo,mexicanos
vapeadores,qu,uso,mercado
vapeo,fav,conoce,uso
nicotina,rubius,vapeo,negro
dejar,dos,aqu,rt
cigarrillos,dejar,aos,debe
ms,ahora,jvenes,salud
