,country
USA,227
GBR,44
CAN,31
IND,21
AUS,20
ZAF,13
IRN,10
JPN,10
KOR,8
THA,8
MEX,8
FRA,7
VIR,7
CHN,6
IRL,6
NGA,6
ARE,5
KEN,5
ESP,4
ZWE,4
VEN,4
URY,3
PER,3
MAR,3
NZL,3
FJI,3
TWN,3
COL,3
DEU,3
BRA,2
VAT,2
JAM,2
BEL,2
NPL,2
YEM,2
GNQ,2
PHL,2
ITA,2
MLT,2
BGD,2
GRC,1
AFG,1
MYS,1
SWE,1
CUB,1
FIN,1
GHA,1
KWT,1
NOR,1
MOZ,1
UKR,1
ECU,1
MKD,1
SAU,1
BOL,1
SRB,1
LBR,1
VNM,1
NLD,1
SGP,1
ISR,1
PAK,1
HKG,1
CHE,1
IRQ,1
CZE,1
